         12034466 function calls (12015644 primitive calls) in 89.406 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      452    0.001    0.000    0.004    0.000 transforms.py:2508(composite_transform_factory)
      629    0.001    0.000    0.001    0.000 iostream.py:96(_event_pipe)
     2371    0.001    0.000    0.001    0.000 transforms.py:1940(get_matrix)
     1601    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      128    0.001    0.000    0.019    0.000 backend_agg.py:251(get_text_width_height_descent)
        2    0.001    0.000    0.001    0.000 {built-in method gc.collect}
      317    0.001    0.000    0.001    0.000 session.py:844(<listcomp>)
     1022    0.001    0.000    0.005    0.000 {method 'max' of 'numpy.ndarray' objects}
      385    0.001    0.000    0.004    0.000 fromnumeric.py:2367(all)
      100    0.001    0.000    0.232    0.002 std.py:1324(refresh)
      176    0.001    0.000    0.006    0.000 ticker.py:224(<listcomp>)
      730    0.001    0.000    0.005    0.000 axis.py:303(set_label1)
     1514    0.001    0.000    0.002    0.000 artist.py:254(convert_yunits)
       40    0.001    0.000    0.010    0.000 axis.py:2523(get_tick_space)
      176    0.001    0.000    0.076    0.000 ticker.py:2112(__call__)
     1630    0.001    0.000    0.001    0.000 __init__.py:876(<listcomp>)
      861    0.001    0.000    0.001    0.000 artist.py:439(get_transform)
      668    0.001    0.000    0.002    0.000 re.py:187(match)
      460    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(round_)
     1077    0.001    0.000    0.006    0.000 transforms.py:1796(transform)
      458    0.001    0.000    0.002    0.000 font_manager.py:817(set_variant)
     1755    0.001    0.000    0.001    0.000 text.py:1209(set_text)
      357    0.001    0.000    0.001    0.000 fromnumeric.py:3127(ndim)
      176    0.001    0.000    0.036    0.000 ticker.py:705(set_locs)
      926    0.001    0.000    0.002    0.000 scale.py:116(get_transform)
      495    0.001    0.000    0.025    0.000 artist.py:116(<lambda>)
       34    0.001    0.000    0.108    0.003 axis.py:2073(_update_label_position)
      696    0.001    0.000    0.003    0.000 colors.py:106(_is_nth_color)
     3590    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      764    0.001    0.000    0.001    0.000 enum.py:359(__call__)
      101    0.001    0.000    0.237    0.002 std.py:1159(__iter__)
     1152    0.001    0.000    0.001    0.000 font_manager.py:1304(<genexpr>)
      550    0.001    0.000    0.001    0.000 transforms.py:374(width)
      730    0.001    0.000    0.004    0.000 axis.py:316(set_label2)
      372    0.001    0.000    0.001    0.000 lines.py:1149(_set_markercolor)
      472    0.001    0.000    0.002    0.000 colors.py:152(to_rgba)
      100    0.001    0.000    0.014    0.000 {built-in method builtins.print}
      293    0.001    0.000    0.001    0.000 markers.py:266(_set_fillstyle)
  366/355    0.001    0.000    0.220    0.001 traitlets.py:597(__set__)
     1022    0.001    0.000    0.004    0.000 _methods.py:38(_amax)
      634    0.001    0.000    0.001    0.000 jsonutil.py:39(_ensure_tzinfo)
      341    0.001    0.000    0.011    0.000 transforms.py:813(from_bounds)
     2502    0.001    0.000    0.001    0.000 artist.py:828(get_visible)
      126    0.001    0.000    0.003    0.000 path.py:99(__init__)
      103    0.001    0.000    0.002    0.000 notebook.py:200(colour)
     1096    0.001    0.000    0.001    0.000 transforms.py:2130(transform)
      124    0.001    0.000    0.001    0.000 lines.py:1087(set_linestyle)
       64    0.001    0.000    0.001    0.000 __init__.py:557(__setitem__)
       44    0.001    0.000    0.121    0.003 axis.py:1860(_get_tick_boxes_siblings)
      317    0.001    0.000    0.025    0.000 iostream.py:218(send_multipart)
      160    0.001    0.000    0.007    0.000 backend_agg.py:299(_get_agg_font)
      612    0.001    0.000    0.002    0.000 transforms.py:2218(<lambda>)
      674    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      303    0.001    0.000    0.094    0.000 comm.py:120(send)
      549    0.001    0.000    0.001    0.000 font_manager.py:862(set_size)
       92    0.001    0.000    0.002    0.000 backend_bases.py:735(__init__)
      738    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      385    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(all)
      838    0.001    0.000    0.002    0.000 axis.py:752(get_transform)
      126    0.001    0.000    0.001    0.000 __init__.py:132(check_shape)
      388    0.001    0.000    0.006    0.000 <__array_function__ internals>:2(reshape)
      176    0.001    0.000    0.025    0.000 ticker.py:221(format_ticks)
        4    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
      458    0.001    0.000    0.001    0.000 font_manager.py:794(set_family)
       32    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      317    0.001    0.000    0.004    0.000 session.py:271(msg_header)
       36    0.001    0.000    0.001    0.000 axis.py:1135(<listcomp>)
      458    0.001    0.000    0.001    0.000 font_manager.py:915(set_math_fontfamily)
     1332    0.001    0.000    0.001    0.000 figure.py:2388(_set_dpi)
      108    0.001    0.000    0.003    0.000 transforms.py:1996(rotate)
      460    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(around)
      102    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
      452    0.001    0.000    0.005    0.000 transforms.py:1348(__add__)
      160    0.001    0.000    0.001    0.000 font_manager.py:1417(get_font)
     1804    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      326    0.001    0.000    0.001    0.000 __init__.py:184(__init__)
        8    0.001    0.000    0.183    0.023 _base.py:2955(_update_title_position)
      460    0.001    0.000    0.004    0.000 fromnumeric.py:3220(around)
     2126    0.001    0.000    0.001    0.000 figure.py:2385(_get_dpi)
        2    0.001    0.000    0.009    0.004 image.py:310(_make_image)
      176    0.001    0.000    0.002    0.000 fromnumeric.py:2539(ptp)
      144    0.001    0.000    0.010    0.000 transforms.py:667(<listcomp>)
      252    0.001    0.000    0.001    0.000 __init__.py:1277(is_math_text)
      352    0.001    0.000    0.001    0.000 ticker.py:1908(closeto)
      188    0.000    0.000    0.001    0.000 getlimits.py:382(__new__)
       32    0.000    0.000    0.001    0.000 pathlib.py:56(parse_parts)
      204    0.000    0.000    0.001    0.000 std.py:288(format_interval)
      716    0.000    0.000    0.001    0.000 text.py:1160(set_y)
       94    0.000    0.000    0.001    0.000 transforms.py:2057(scale)
      320    0.000    0.000    0.002    0.000 transforms.py:170(invalidate)
      200    0.000    0.000    0.001    0.000 iostream.py:418(_is_master_process)
      834    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        1    0.000    0.000    0.000    0.000 {method 'random' of 'numpy.random.mtrand.RandomState' objects}
      314    0.000    0.000    0.002    0.000 widget.py:118(_remove_buffers)
      916    0.000    0.000    0.001    0.000 font_manager.py:1022(_normalize_font_family)
      386    0.000    0.000    0.003    0.000 {method 'min' of 'numpy.ndarray' objects}
